L1	0	L2	0_2
-0.27816164663441356	0.0	-0.1625557397131338	0.0
-0.27816164663441356	0.0	-0.1581563337625307	0.0
0.20458755101391585	0.0	-0.11044388648014904	0.0
-0.27816164663441356	0.0	-0.15980924579638675	0.0
0.20672572162651862	0.0	-0.10680004532972273	0.0
0.27816164663441356	0.0	-0.18183009733571806	0.0
0.23810084339342294	0.0	-0.19358125011263935	0.0
0.2534886115793684	0.0	-0.06084953728724338	0.0
0.06084953728724338	0.0	-0.0497358841624903	0.0
0.27816164663441356	0.0	-0.18213119432653643	0.0
0.23849512051534913	0.0	-0.19457862467146736	0.0
0.2547946424681801	0.0	-0.06066311099943891	0.0
0.06066311099943891	0.0	-0.04792245297004612	0.0
